START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/02/23,01:20 PM,02:20 PM,Guardians at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/02/23,07/02/23,04:20 PM,05:20 PM,FALSE,TRUE,07/02/23,12:20 PM,01:20 PM,FREE,BUSY
07/14/23,07:05 PM,08:05 PM,Red Sox at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",07/14/23,07/14/23,10:05 PM,11:05 PM,FALSE,TRUE,07/14/23,06:05 PM,07:05 PM,FREE,BUSY
07/15/23,01:20 PM,02:20 PM,Red Sox at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",07/15/23,07/15/23,04:20 PM,05:20 PM,FALSE,TRUE,07/15/23,12:20 PM,01:20 PM,FREE,BUSY
07/16/23,01:20 PM,02:20 PM,Red Sox at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",07/16/23,07/16/23,04:20 PM,05:20 PM,FALSE,TRUE,07/16/23,12:20 PM,01:20 PM,FREE,BUSY
07/17/23,07:05 PM,08:05 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",07/17/23,07/17/23,10:05 PM,11:05 PM,FALSE,TRUE,07/17/23,06:05 PM,07:05 PM,FREE,BUSY
07/18/23,07:05 PM,08:05 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",07/18/23,07/18/23,10:05 PM,11:05 PM,FALSE,TRUE,07/18/23,06:05 PM,07:05 PM,FREE,BUSY
07/19/23,07:05 PM,08:05 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",07/19/23,07/19/23,10:05 PM,11:05 PM,FALSE,TRUE,07/19/23,06:05 PM,07:05 PM,FREE,BUSY
07/20/23,07:05 PM,08:05 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",07/20/23,07/20/23,10:05 PM,11:05 PM,FALSE,TRUE,07/20/23,06:05 PM,07:05 PM,FREE,BUSY
07/21/23,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",07/21/23,07/21/23,04:20 PM,05:20 PM,FALSE,TRUE,07/21/23,12:20 PM,01:20 PM,FREE,BUSY
07/22/23,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",07/22/23,07/22/23,04:20 PM,05:20 PM,FALSE,TRUE,07/22/23,12:20 PM,01:20 PM,FREE,BUSY
07/23/23,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",07/23/23,07/23/23,04:20 PM,05:20 PM,FALSE,TRUE,07/23/23,12:20 PM,01:20 PM,FREE,BUSY
07/31/23,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",07/31/23,07/31/23,10:05 PM,11:05 PM,FALSE,TRUE,07/31/23,06:05 PM,07:05 PM,FREE,BUSY
08/01/23,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",08/01/23,08/01/23,10:05 PM,11:05 PM,FALSE,TRUE,08/01/23,06:05 PM,07:05 PM,FREE,BUSY
08/02/23,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",08/02/23,08/02/23,10:05 PM,11:05 PM,FALSE,TRUE,08/02/23,06:05 PM,07:05 PM,FREE,BUSY
08/03/23,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",08/03/23,08/03/23,10:05 PM,11:05 PM,FALSE,TRUE,08/03/23,06:05 PM,07:05 PM,FREE,BUSY
08/04/23,01:20 PM,02:20 PM,Braves at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",08/04/23,08/04/23,04:20 PM,05:20 PM,FALSE,TRUE,08/04/23,12:20 PM,01:20 PM,FREE,BUSY
08/05/23,01:20 PM,02:20 PM,Braves at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",08/05/23,08/05/23,04:20 PM,05:20 PM,FALSE,TRUE,08/05/23,12:20 PM,01:20 PM,FREE,BUSY
08/06/23,01:20 PM,02:20 PM,Braves at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",08/06/23,08/06/23,04:20 PM,05:20 PM,FALSE,TRUE,08/06/23,12:20 PM,01:20 PM,FREE,BUSY
08/15/23,07:05 PM,08:05 PM,White Sox at Cubs,Wrigley Field - Chicago,"",08/15/23,08/15/23,10:05 PM,11:05 PM,FALSE,TRUE,08/15/23,06:05 PM,07:05 PM,FREE,BUSY
08/16/23,07:05 PM,08:05 PM,White Sox at Cubs,Wrigley Field - Chicago,"",08/16/23,08/16/23,10:05 PM,11:05 PM,FALSE,TRUE,08/16/23,06:05 PM,07:05 PM,FREE,BUSY
08/18/23,01:20 PM,02:20 PM,Royals at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",08/18/23,08/18/23,04:20 PM,05:20 PM,FALSE,TRUE,08/18/23,12:20 PM,01:20 PM,FREE,BUSY
