START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/30/23,07:10 PM,08:10 PM,Angels at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",05/30/23,05/30/23,10:10 PM,11:10 PM,FALSE,TRUE,05/30/23,06:10 PM,07:10 PM,FREE,BUSY
05/31/23,01:10 PM,02:10 PM,Angels at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",05/31/23,05/31/23,04:10 PM,05:10 PM,FALSE,TRUE,05/31/23,12:10 PM,01:10 PM,FREE,BUSY
06/02/23,07:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",06/02/23,06/02/23,10:10 PM,11:10 PM,FALSE,TRUE,06/02/23,06:10 PM,07:10 PM,FREE,BUSY
06/03/23,01:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",06/03/23,06/03/23,04:10 PM,05:10 PM,FALSE,TRUE,06/03/23,12:10 PM,01:10 PM,FREE,BUSY
06/04/23,01:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",06/04/23,06/04/23,04:10 PM,05:10 PM,FALSE,TRUE,06/04/23,12:10 PM,01:10 PM,FREE,BUSY
06/09/23,07:10 PM,08:10 PM,Marlins at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",06/09/23,06/09/23,10:10 PM,11:10 PM,FALSE,TRUE,06/09/23,06:10 PM,07:10 PM,FREE,BUSY
06/10/23,01:10 PM,02:10 PM,Marlins at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",06/10/23,06/10/23,04:10 PM,05:10 PM,FALSE,TRUE,06/10/23,12:10 PM,01:10 PM,FREE,BUSY
06/11/23,01:10 PM,02:10 PM,Marlins at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",06/11/23,06/11/23,04:10 PM,05:10 PM,FALSE,TRUE,06/11/23,12:10 PM,01:10 PM,FREE,BUSY
06/19/23,07:10 PM,08:10 PM,Rangers at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: WMVP 1000 AM",06/19/23,06/19/23,10:10 PM,11:10 PM,FALSE,TRUE,06/19/23,06:10 PM,07:10 PM,FREE,BUSY
06/20/23,07:10 PM,08:10 PM,Rangers at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: WMVP 1000 AM",06/20/23,06/20/23,10:10 PM,11:10 PM,FALSE,TRUE,06/20/23,06:10 PM,07:10 PM,FREE,BUSY
